Capacity,Outside Air Temperature,Evaporator Area,Condenser Area,Compressor Design Flow,Success,Total Annualized Cost,Annualized Capital Evaporator Cost,Annualized Capital Condenser Cost,Annualized Capital Compressor Cost
80,28,50,70,45,True,46713.04597,2948.425692,3332.846483,15223.33656
80,28,20,40,75,False,0.0,0.0,0.0,0.0
80,29,50,70,45,True,46713.04597,2948.425692,3332.846483,15223.33656
80,29,20,40,75,False,0.0,0.0,0.0,0.0
80,30,50,70,45,True,46713.04597,2948.425692,3332.846483,15223.33656
80,30,20,40,75,False,0.0,0.0,0.0,0.0
80,31,50,70,45,True,46713.04597,2948.425692,3332.846483,15223.33656
80,31,20,40,75,False,0.0,0.0,0.0,0.0
80,32,50,70,45,True,46713.04597,2948.425692,3332.846483,15223.33656
80,32,20,40,75,False,0.0,0.0,0.0,0.0
80,33,50,70,45,True,46713.04597,2948.425692,3332.846483,15223.33656
80,33,20,40,75,False,0.0,0.0,0.0,0.0
80,34,50,70,45,True,46713.04597,2948.425692,3332.846483,15223.33656
80,34,20,40,75,False,0.0,0.0,0.0,0.0
80,35,50,70,45,True,46713.04597,2948.425692,3332.846483,15223.33656
80,35,20,40,75,False,0.0,0.0,0.0,0.0
100,28,50,65,150,True,81323.0023,2948.425692,3237.917686,39885.29836
100,28,90,20,15,False,0.0,0.0,0.0,0.0
100,29,50,65,150,True,81323.0023,2948.425692,3237.917686,39885.29836
100,29,90,20,15,False,0.0,0.0,0.0,0.0
100,30,50,65,150,True,81323.0023,2948.425692,3237.917686,39885.29836
100,30,90,20,15,False,0.0,0.0,0.0,0.0
100,31,50,65,150,True,81323.0023,2948.425692,3237.917686,39885.29836
100,31,90,20,15,False,0.0,0.0,0.0,0.0
100,32,50,65,150,True,81323.0023,2948.425692,3237.917686,39885.29836
100,32,90,20,15,False,0.0,0.0,0.0,0.0
100,33,50,65,150,True,81323.0023,2948.425692,3237.917686,39885.29836
100,33,90,20,15,False,0.0,0.0,0.0,0.0
100,34,50,65,150,True,81323.0023,2948.425692,3237.917686,39885.29836
100,34,90,20,15,False,0.0,0.0,0.0,0.0
100,35,50,65,150,True,81323.0023,2948.425692,3237.917686,39885.29836
100,35,90,20,15,False,0.0,0.0,0.0,0.0
120,28,60,65,135,True,80240.91603,3142.215107,3237.917686,36661.21489
120,28,40,75,45,False,0.0,0.0,0.0,0.0
120,29,60,65,135,True,80240.91603,3142.215107,3237.917686,36661.21489
120,29,40,75,45,False,0.0,0.0,0.0,0.0
120,30,60,65,135,True,80240.91603,3142.215107,3237.917686,36661.21489
120,30,40,75,45,False,0.0,0.0,0.0,0.0
120,31,60,65,135,True,80240.91603,3142.215107,3237.917686,36661.21489
120,31,40,75,45,False,0.0,0.0,0.0,0.0
120,32,60,65,135,True,80240.91603,3142.215107,3237.917686,36661.21489
120,32,40,75,45,False,0.0,0.0,0.0,0.0
120,33,60,65,135,True,80240.91603,3142.215107,3237.917686,36661.21489
120,33,40,75,45,False,0.0,0.0,0.0,0.0
120,34,60,65,135,True,80240.91603,3142.215107,3237.917686,36661.21489
120,34,40,75,45,False,0.0,0.0,0.0,0.0
120,35,60,65,135,True,80240.91603,3142.215107,3237.917686,36661.21489
120,35,40,75,45,False,0.0,0.0,0.0,0.0
140,28,90,25,150,True,88673.48872,3705.5299,2456.33675,39885.29836
140,28,50,60,30,False,0.0,0.0,0.0,0.0
140,29,90,25,150,True,88673.48872,3705.5299,2456.33675,39885.29836
