Evaporator Area,Condenser Area,Compressor Design Flow,Capacity,Outside Air Temperature,Success,Annual Operating Cost,Annualized Capital Cost,Annualized Capital Compressor Cost,Annualized Capital Evaporator Cost,Annualized Capital Condenser Cost,Total Annualized Cost,Total Equp Cost,Experimental Op Cost
110,85,15,100,28,FALSE,0,0,0,0,0,0,0,
110,85,30,100,28,FALSE,0,0,0,0,0,0,0,
110,85,45,100,28,TRUE,45824.69219,22905.45933,15223.33656,4068.786552,3613.336217,68730.15151,22905.45933,
110,85,60,100,28,TRUE,30112.94501,26845.00533,19162.88256,4068.786552,3613.336217,56957.95034,26845.00533,
110,85,75,100,28,TRUE,28397.69905,30590.21107,22908.08831,4068.786552,3613.336217,58987.91012,30590.21108,
110,85,90,100,28,TRUE,28951.45426,34187.4912,26505.36843,4068.786552,3613.336217,63138.94546,34187.4912,
110,85,105,100,28,TRUE,30234.66176,37666.24068,29984.11791,4068.786552,3613.336217,67900.90244,37666.24068,
110,85,120,100,28,TRUE,31810.09614,41046.63919,33364.51642,4068.786552,3613.336217,72856.73533,41046.63919,
110,85,135,100,28,TRUE,33508.30728,44343.33766,36661.21489,4068.786552,3613.336217,77851.64493,44343.33766,
110,85,150,100,28,TRUE,35251.36057,47567.42112,39885.29836,4068.786552,3613.336217,82818.78169,47567.42113,
110,80,15,100,28,FALSE,0,0,0,0,0,0,0,
110,80,30,100,28,FALSE,0,0,0,0,0,0,0,
110,80,45,100,28,TRUE,45824.69219,22812.64039,15223.33656,4068.786552,3520.517286,68637.33258,22812.6404,
110,80,60,100,28,TRUE,30112.94501,26752.1864,19162.88256,4068.786552,3520.517286,56865.13141,26752.1864,
110,80,75,100,28,TRUE,28397.69905,30497.39214,22908.08831,4068.786552,3520.517286,58895.09119,30497.39215,
110,80,90,100,28,TRUE,28951.45426,34094.67227,26505.36843,4068.786552,3520.517286,63046.12653,34094.67227,
110,80,105,100,28,TRUE,30234.66176,37573.42175,29984.11791,4068.786552,3520.517286,67808.08351,37573.42175,
110,80,120,100,28,TRUE,31810.09614,40953.82026,33364.51642,4068.786552,3520.517286,72763.9164,40953.82026,
110,80,135,100,28,TRUE,33508.30728,44250.51873,36661.21489,4068.786552,3520.517286,77758.826,44250.51873,
110,80,150,100,28,TRUE,35251.36057,47474.60219,39885.29836,4068.786552,3520.517286,82725.96276,47474.6022,
110,75,15,100,28,FALSE,0,0,0,0,0,0,0,
110,75,30,100,28,FALSE,0,0,0,0,0,0,0,
110,75,45,100,28,TRUE,45824.69219,22719.15694,15223.33656,4068.786552,3427.033833,68543.84913,22719.15695,
110,75,60,100,28,TRUE,30112.94501,26658.70295,19162.88256,4068.786552,3427.033833,56771.64796,26658.70295,
110,75,75,100,28,TRUE,28397.69905,30403.90869,22908.08831,4068.786552,3427.033833,58801.60774,30403.9087,
110,75,90,100,28,TRUE,28951.45426,34001.18881,26505.36843,4068.786552,3427.033833,62952.64308,34001.18882,
110,75,105,100,28,TRUE,30234.66176,37479.9383,29984.11791,4068.786552,3427.033833,67714.60006,37479.93829,
